column,dtype,non_null,nulls,null_pct,n_unique
ObjectID,int64,600,0,0.0,600
GlobalID,object,600,0,0.0,600
1._Nombre_de_encuestador,object,600,0,0.0,22
2._Fecha_y_Hora_inicio,datetime64[ns],600,0,0.0,598
"3._Buenos_dias/_tardes,_mi_nombre_es__________________soy_encuestador/a_y_junto_a_la_Superintendencia_de_Servicios_Publicos_y_Domiciliarios_estamos_indagando_acerca_de_como_estan_siendo_atendidas_sus_peticiones,_quejas_y/o_reclamos._Su_participacion_es_voluntaria_y_tanto_su_identidad,_como_las_respuestas_suministradas_seran_de_caracter_confidencial._Esta_encuesta_toma_alrededor_de_10_minutos,_¿estaria_dispuesto(a)_a_responder_unas_preguntas?",object,600,0,0.0,1
"4._¿Autoriza_a_la_Superservicios_para_hacer_tratamiento_de_sus_datos_personales,_de_acuerdo_con_lo_establecido_en_la_Ley_1581_de_2012_y_la_Politica_de_tratamiento_de_datos_personales_de_la_entidad_publicada_en_https://www.superservicios.gov.co/Politica-de-tratamiento-de-datos?",object,600,0,0.0,1
"5._Para_iniciar,_¿me_puede_decir_nombres_y_apellidos_completos?",object,600,0,0.0,576
6._Tipo_de_Documento,object,600,0,0.0,1
Otro,float64,0,600,100.0,0
6.1._Numero_de_documento:,int64,600,0,0.0,567
7._Tiene_correo_electronico,object,600,0,0.0,2
7.1._Proporcione_el_correo,object,450,150,25.0,423
8._Su_edad_se_encuentra_entre,object,600,0,0.0,4
9._Departamento,object,600,0,0.0,2
DireccionT,object,600,0,0.0,1
10._Municipio,object,600,0,0.0,2
11._Nombre_Punto_Atencion,object,600,0,0.0,35
12._Empresa,object,600,0,0.0,24
13._¿Por_que_motivo_viene_usted_hoy_a_este_punto_de_atencion?,object,600,0,0.0,8
Otro.1,object,298,302,50.33,285
14._Ud._visita_el_punto_de_atencion_¿Como?,object,600,0,0.0,6
Otro.2,object,13,587,97.83,13
15._¿Coincide_su_lugar_de_residencia_con_el_lugar_donde_esta_siendo_atendido?,object,600,0,0.0,2
16._Ud._Se_identifica_como,object,600,0,0.0,2
Otro.3,float64,0,600,100.0,0
17._Pertenece_a_alguna_de_las_siguientes_etnias,object,600,0,0.0,3
Otro.4,float64,0,600,100.0,0
18._¿Su_direccion_es_la_misma_que_registra_en_su_factura?,object,600,0,0.0,2
19._Por_favor_indique_su_direccion,object,27,573,95.5,27
20._¿En_que_tipo_de_zona_vive_en_este_momento?,object,600,0,0.0,2
21._¿Cual_es_su_estado_civil_actualmente?,object,600,0,0.0,6
Otro.5,object,2,598,99.67,2
22._¿Cual_es_su_mayor_nivel_de_estudios?,object,600,0,0.0,5
Otro.6,float64,0,600,100.0,0
23._Indiqueme_por_favor_si_el_lugar_en_el_que_vive_es:,object,600,0,0.0,3
Otro.7,object,15,585,97.5,7
24._¿Cual_es_su_principal_ocupacion,object,600,0,0.0,9
Otro.8,object,24,576,96.0,3
25._¿Cuantas_personas_actualmente_componen_su_hogar?,int64,600,0,0.0,18
26._¿Cuanto_tiempo_le_toma_desde_su_lugar_de_vivienda_a_este_punto_de_atencion?,object,600,0,0.0,4
"27._Aproximadamente,_¿Cuanto_dinero_estima_que_sera_gastado_para_esta_diligencia?",object,600,0,0.0,6
Otro.9,float64,1,599,99.83,1
28._¿A_que_servicio_refiere_su_visita_al_punto_de_atencion?,object,600,0,0.0,6
Otro.10,object,8,592,98.67,7
29._¿Que_tipo_de_gestion_llevara_a_cabo?,object,600,0,0.0,6
Otro.11,object,56,544,90.67,55
30._Su_inconformidad/solicitud_o_peticion_tiene_que_ver_con,object,600,0,0.0,3
Compartanos_si_considera_que_otra_razon_distinta_que_quiera_compartir_de_forma_muy_corta,object,47,553,92.17,37
"30.1_Como_su_respuesta_fue_facturacion,_indique",object,455,145,24.17,6
Otro.12,object,229,371,61.83,224
"30.1_Como_su_respuesta_fue_Prestacion_del_servicio,_indique",object,96,504,84.0,6
Otro.13,object,85,515,85.83,85
31._Como_califica_la_prestacion_del_servicio_por_parte_de_la_empresa,object,600,0,0.0,4
Otro.14,object,6,594,99.0,6
"32._En_este_momento,_¿ud_ya_fue_atendido?",object,600,0,0.0,2
32.1_Elija_la_escala_en_la_cual_se_encuentra_luego_de_ser_atendido,object,332,268,44.67,5
32.1_Elija_la_percepcion_que_tiene_en_este_momento,object,268,332,55.33,5
33._Frente_a_su_motivo_de_visita_al_punto_de_atencion_hubiera_preferido:,object,600,0,0.0,4
Otro.15,float64,0,600,100.0,0
34.1._¿En_cuanto_tiempo_espera_una_respuesta_a_su_PQR?,object,332,268,44.67,3
34.1_¿En_cuanto_desearia_una_respuesta_a_su_PQR?,object,268,332,55.33,2
"35._Si_No_recibe_respuesta_a_su_solicitud_dentro_del_tiempo_estipulado,_¿Que_accion_tomaria?",object,600,0,0.0,5
Buscaria_otra_solucion._¿Cual?,object,5,595,99.17,5
36._Si_Ud._Recibe_una_respuesta_con_la_cual_NO_ESTA_DE_ACUERDO,object,600,0,0.0,4
Otro.16,object,203,397,66.17,195
"37._¿La_empresa_prestadora_de_servicio_le_explico_que,_si_USTED_no_esta_de_acuerdo_con_su_respuesta_puede_pedir_que_la_revisen_o_que_otra_autoridad_la_evalue?",object,600,0,0.0,4
Otro.17,object,216,384,64.0,202
38._Sobre_la_Superintendencia_de_Servicios_Publicos_Domiciliarios_(SSPD)_usted:,object,600,0,0.0,5
Otro.18,object,6,594,99.0,6
39._¿Que_tan_satisfecho_esta_con_la_atencion_brindada_en_este_punto?,object,600,0,0.0,5
40._¿tiene_su_factura_del_servicio_motivo_de_visita_a_la_mano?,object,600,0,0.0,2
40.1._Numero_de_Factura,object,501,99,16.5,500
40.2._Cuenta_de_Contrato,object,501,99,16.5,499
Observaciones_del_Encuestador,object,599,1,0.17,479
CreationDate,datetime64[ns],600,0,0.0,600
Creator,float64,0,600,100.0,0
EditDate,datetime64[ns],600,0,0.0,600
Editor,float64,0,600,100.0,0
x,float64,600,0,0.0,579
y,float64,600,0,0.0,584
Duracion_(minutos),float64,600,0,0.0,600
